Id,Date,Text
1432233613152735232,2021-08-30 06:47:57,Que dicen que el #Bitcoin hoy mata árboles 🤷🏻‍♂️🤡🌳 https://t.co/h3N5kyl2qD
1432233562791575553,2021-08-30 06:47:45,Bitcoin: nuevos pronósticos aseguran que podría alcanzar los u$s500.000 en nueve meses https://t.co/xEFlRnJFm8
1432233437386231808,2021-08-30 06:47:15,"📈 #BITCOIN 
De nuevo ha rechazado la zona de los 49k-50k y vuelve a mostrar debilidad en esa zona. 

Tal vez veamos correcciones en 44k. 

En estos días es posible seguir viendo una lateralización  en la zona de 47,5k-48,5k hasta cierre de vela mensual.

Solo el tiempo dirá. https://t.co/jJ8J0OkCpZ"
1432233240472039424,2021-08-30 06:46:28,@ECuzcatleko @SERGIOE52423038 @nayibbukele @anliker1980 @BancadaCyan @EdgardoMulatoSV @XZablah @joseurbinasv Al rato lo veo comiendo pizza con los 30 btc jajajajaja
1432232984464306177,2021-08-30 06:45:27,"@ChanRusachan Literalmente prohibieron la minería de bitcoin en su territorio por razones ecológicas.

https://t.co/8diJr1NzZb

https://t.co/v44Gi5b0uQ"
1432232925437861888,2021-08-30 06:45:13,"Entra y descubre nuestros articúlos para ganar dinero #ganardinero, sigueme, todos los domingos sigo a la gente que me sigue. TradeTracker- https://t.co/kit1O4caR4 #ganardinero #bitcoin #money"
1432232892336414722,2021-08-30 06:45:05,El 'cabeza y hombros' invertido del bitcoin hacia los 60.000 dólares sigue vigente https://t.co/QWwtjIKUoL https://t.co/iFQJRQeeid
1432232567831502849,2021-08-30 06:43:48,"@henrychavez133 ""En EL Salvador no queremos bitcoin"" el país no lo representan unos cuantos pelados gritando por algo que ni conocen #busquenalgomejorquehacer"
1432232315053395968,2021-08-30 06:42:48,@JoseValdezSV Así calientitos si al Bitcoin me encantan
1432232212490035203,2021-08-30 06:42:23,"@aleguerrero1976 @ORamosBets Claro que si, y el precio de BTC también es manipulado por los exchanges grandes poseedores de Bitcoin, Ale estamos hablando de un mercado sin regulador, es la selva creo que por eso nos gusta tanto."
1432232211013677058,2021-08-30 06:42:23,@MigueVaquerano @JaimeGuevaraSV Ahora todos se creen expertos en Bitcoin.
1432232039093264387,2021-08-30 06:41:42,@JoseValdezSV @nayibbukele Yo como joven. Digo no. Al bitcoin no se dejen. Estafar jovenes avivemos. Y despertemos con 30 de bitcoin nos quiere. Comprar y el pais bien enduedado y. La canasta básica cara la gasolina cara mayor delincuencia #NoAlBitcoin
1432232011079372802,2021-08-30 06:41:35,@ChristianDiffer YO TRABAJO CON EL BITCOIN EDTOS NO NOS REPRESENTAN !!
1432231501660401668,2021-08-30 06:39:34,"@IMFNews @RhodaWeeksBrown Oye quien te crees para meterte en las política de un país ? El banco, SI BIEN PRESTAS DINERO, pero al final ese dinero es del pueblo, que paga con intereses eternos esas deudas externas... Entonces tú dependes del resto no al revés. Btc el futuro!😎🇸🇻"
